cout,loc,type
273,“菲律宾南海行为准则草案”,证据源形式
417,《公约》,证据源形式
805,听证会,证据源形式
861,“领海基线法案”,证据源形式
430,联合声明,证据源形式
567,《日美防卫合作指针》,证据源形式
705,东盟外长论坛,证据源形式
40,联合声明,证据源形式
557,东盟区域论坛,证据源形式
829,《开罗宣言》,证据源形式
483,《联合国海洋法公约》,证据源形式
546,“美菲共同防御委员会”会议,证据源形式
122,《南海各方行为准则》,证据源形式
415,《公约》,证据源形式
719,《三方协议》,证据源形式
779,《南海各方行为宣言》,证据源形式
221,路透社采访,证据源形式
107,外大陆架划界法案,证据源形式
619,东盟地区论坛,证据源形式
153,“领海基线法案”(即第5446号法案),证据源形式
113,海洋法或相关行政条例,证据源形式
111,《公约》,证据源形式
794,《南海各方行为宣言》,证据源形式
623,东盟地区论坛,证据源形式
874,《菲律宾商报》,证据源形式
73,《南海各方行为宣言》,证据源形式
540,“东亚主权与海洋争议”听证会,证据源形式
72,《东盟南海宣言》,证据源形式
104,《领海基线法案》,证据源形式
82,《中华人民共和国领海及毗连区法》,证据源形式
173,《南海各方行为宣言》,证据源形式
640,《后勤互助保障协定》,证据源形式
5,东盟部长级会议,证据源形式
592,文莱东盟外长会议,证据源形式
232,秘密会议,证据源形式
415,《关于西菲律宾海的通知与权利主张说明》,证据源形式
538,《执行东盟与中国和平与繁荣战略伙伴关系联合宣言行动计划(2011—2015年)》,证据源形式
416,《中华人民共和国政府关于菲律宾共和国所提南海仲裁案管辖权问题的立场文件》,证据源形式
238,“日美防卫合作指针”,证据源形式
303,《中国海指南》,证据源形式
232,《美菲共同防御条约》,证据源形式
707,《人民日报》,证据源形式
605,世界经济论坛,证据源形式
297,《公约》,证据源形式
615,东盟地区论坛,证据源形式
564,《南海地区行为准则》,证据源形式
928,《领海基线法案》,证据源形式
308,《南海各方行为宣言》,证据源形式
728,《南沙群岛与南海政策声明》,证据源形式
822,《中华民国行政区域图》,证据源形式
71,副防长级会谈,证据源形式
58,美国—东盟峰会,证据源形式
565,《南海各方行为宣言》,证据源形式
624,联合公报,证据源形式
609,《联合国海洋法公约》,证据源形式
706,《新京报》,证据源形式
430,《联合国海洋法公约》,证据源形式
78,《海峡时报》,证据源形式
832,“领海基线法案,证据源形式
851,《公约》,证据源形式
686,《大陆架法》,证据源形式
713,东盟地区论坛,证据源形式
616,东盟会议,证据源形式
582,《吉隆坡安全评论》,证据源形式
522,第16届东盟高峰会,证据源形式
77,《联合国海洋法公约》,证据源形式
117,《公约》,证据源形式
307,《南海各方行为宣言》,证据源形式
532,“澳美部长级会议”,证据源形式
573,《联合国海洋法公约》,证据源形式
165,照会,证据源形式
853,《中国南海各岛屿图》,证据源形式
177,《南海行为准则》,证据源形式
125,《领海基线法》,证据源形式
640,《部队访问协议》,证据源形式
720,《宣言》,证据源形式
706,《京华时报》,证据源形式
697,《南海各方行为宣言》,证据源形式
139,南海政策,证据源形式
233,可能性报告,证据源形式
680,旧金山和会,证据源形式
645,《日华和约》,证据源形式
899,《联合国海洋法公约》,证据源形式
69,东盟首脑峰会,证据源形式
642,《南海各方行为宣言》,证据源形式
592,《关于南中国海最近局势的声明》,证据源形式
517,“海洋政策”,证据源形式
