cout,time,type
428,1999年6月,时间
813,2010年7月,时间
46,2014年4月7日,时间
430,2008年10月,时间
751,2010年,时间
868,2009年5月7日,时间
214,2011年2月,时间
707,2010年7月,时间
313,2009年,时间
471,1995年2月到7月,时间
257,2012年,时间
135,2011年,时间
187,1974年,时间
661,1956年7月7日,时间
119,2012年,时间
240,2009年,时间
582,2009年7月2日,时间
595,2011年7月20日,时间
117,2010年7月,时间
653,1958年9月4日,时间
581,2009年7月,时间
712,1995年5月,时间
256,2013年1月9日,时间
794,2002年11月,时间
917,2007年1月,时间
737,2009年,时间
163,2011年6月27日,时间
569,2001年,时间
648,1946年11月,时间
209,2011年3月7日,时间
424,1994年10月18日,时间
243,2012年4月10日,时间
846,1979年12月,时间
918,2007年11月,时间
722,2009年8月19日,时间
407,2012年,时间
684,1970年,时间
706,2010年7月,时间
498,2010年9月,时间
565,2002年,时间
29,2014年2月5日,时间
186,1971年7月,时间
835,1992年,时间
899,1914年,时间
785,2016年5月,时间
908,2008年8月11日,时间
479,1991年9月16日,时间
253,2013年4月23日,时间
173,2011年7月,时间
785,2015年10月,时间
666,1959年,时间
740,2010年11月,时间
103,2009年5月,时间
233,1994年1月,时间
19,2010年6月,时间
380,1995年5月16日,时间
644,1971年12月25日,时间
144,1976年6月14日,时间
632,1993年,时间
575,1994年,时间
551,1982年,时间
725,1995年5月,时间
499,2010年3月,时间
863,2000年4月29日,时间
466,1992年,时间
647,1953年,时间
774,2011年,时间
276,2014年2月,时间
143,1956年,时间
154,2010年6月,时间
272,2002年11月4日,时间
137,2009年,时间
797,2010年月8日,时间
913,2009年4月17日,时间
112,1905年,时间
174,2012年,时间
328,1989年7月,时间
777,2009年,时间
81,2013年6月,时间
291,2013年1月22日,时间
542,2010年3月,时间
640,2003年,时间
327,1949年,时间
801,2009年,时间
776,2010年10月30日,时间
41,2012年9月10日,时间
925,2009年3月16日,时间
175,2011年9月21日,时间
570,2013年12月5日,时间
67,1998年11月,时间
414,2010年7月,时间
331,1995年3月25日,时间
682,2002年,时间
571,1946年,时间
271,1995年,时间
668,2002年,时间
35,2013年9月18日,时间
66,1992年,时间
721,2009年3月9日,时间
909,2009年3月5日,时间
77,1982年,时间
280,2010年6月,时间
23,2014年5月6日,时间
164,2011年,时间
577,1990年,时间
85,2007年,时间
244,2012年10月,时间
528,2010年7月3日,时间
273,2012年1月,时间
514,1992年2月,时间
591,1995年3月,时间
262,2011年7月20日,时间
424,1898年12月10日,时间
497,2010年7月23日,时间
825,1958年,时间
612,2012年,时间
586,1992年,时间
286,2010年,时间
97,1998年,时间
820,1946年10月,时间
678,2009年,时间
454,1973年9月,时间
832,1951年2月17日,时间
548,2009年,时间
679,2007年,时间
73,1998年,时间
816,1999年,时间
629,1994年,时间
728,1982年,时间
663,1959年3月,时间
402,2010年9月,时间
202,2009年5月,时间
870,2004年,时间
61,2002年,时间
884,2011年,时间
6,1995年2月,时间
220,2011年9月7日,时间
388,1999年2月12日,时间
919,2009年5月16日,时间
26,1982年,时间
247,2012年4月30日,时间
640,1999年,时间
646,1955年,时间
921,2009年,时间
920,2009年6月8日,时间
230,1974年1月31日,时间
131,2002年,时间
745,2001年,时间
504,2012年8月2日,时间
116,2009年,时间
122,10月,时间
32,2012年6月12日,时间
881,2012年1月14日,时间
897,1949年,时间
824,2009年5月7日,时间
21,2014年4月3日,时间
694,1992年5月21日,时间
686,1966年,时间
626,2012年,时间
83,2011年,时间
14,2001年4月,时间
403,2010年3月,时间
190,1976年,时间
85,2020年,时间
762,2010年8月,时间
318,2012年,时间
429,2002年11月,时间
483,1997年12月,时间
645,1952年4月28日,时间
33,2013年12月17日,时间
520,2010年,时间
555,2011年3月9日,时间
836,1994年,时间
324,2009年5月13日,时间
221,2011年9月16日,时间
573,1982年,时间
513,1984年,时间
641,2010年7月,时间
646,1956年6月6日,时间
295,2016年7月13日,时间
616,2012年1月,时间
700,2009年8月,时间
308,2011年,时间
614,2011年7月27日,时间
309,1935年,时间
439,2001,2011年,时间
373,1998年12月,时间
261,2002年11月4日,时间
761,2009年7月15日,时间
703,2010年7月,时间
296,2016年7月21日,时间
649,1956年,时间
889,2009年,时间
4,1992年7月,时间
361,1982年,时间
729,1982年,时间
316,2009年,时间
620,2012年7月12日,时间
222,2011年,时间
490,2003年10月,时间
753,1784年,时间
713,2010年7月23日,时间
425,1990年8月,时间
530,2010年9月下旬,时间
212,2011年5月底,时间
895,1956年,时间
904,2002年11月,时间
537,2010年,时间
51,2011年11月,时间
95,1984年,时间
644,1957年5月,时间
246,2013年初,时间
81,2010年7月,时间
611,2012年7月,时间
718,2002年,时间
237,1996年12月,时间
507,2014年2月5日,时间
495,2010年,时间
428,2000年5月,时间
494,2010年,时间
156,2011年,时间
333,1934年,时间
665,1962年,时间
129,1947年,时间
568,2009年5月,时间
159,2011年,时间
512,1988年,时间
397,2010年,时间
84,2012年4月10日,时间
329,1974年1月,时间
844,2012年4月18日,时间
640,1998年,时间
598,2002年,时间
177,2012年9月,时间
341,1933年,时间
610,2002年,时间
631,1990年10月,时间
52,2014年3月6日,时间
658,1950年5月19日,时间
461,1992年,时间
531,2010年10月,时间
305,2016年3月23日,时间
55,2010年11月,时间
314,1984年,时间
80,2010年7月,时间
106,2009年5月7日,时间
759,2011年6月24日,时间
57,2011年6月21日,时间
285,2011年3月,时间
856,2009年,时间
182,1953年,时间
166,2011年8月5日,时间
111,1982年,时间
619,2010年,时间
915,2009年8月15日,时间
746,2009年7月,时间
325,2009年2月17日,时间
340,1933年,时间
177,2012年7月9日,时间
660,1959年2月27日,时间
183,1956年3月,时间
742,2007年,时间
42,2012年8月30日,时间
275,2012年4月11日,时间
861,2009年2月17日,时间
213,2011年9月22日,时间
185,1971年7月10日,时间
303,1925年,时间
239,2011年6月,时间
646,1959年3月12日,时间
748,2011年,时间
171,2011年5月底,时间
484,1999年2月12日,时间
505,2012年9月20日,时间
912,2008年7月20日,时间
11,1992年6月,时间
139,2011年,时间
236,1995年5月,时间
441,2004年,时间
301,2013年1月22日,时间
229,1974年1月26日,时间
226,1956年,时间
368,1992年3月,时间
133,2013年1月22日,时间
640,2001年,时间
223,2011年4月,时间
317,1996年,时间
687,1988年,时间
673,2011年4月5日,时间
71,2011年9月,时间
563,2010年,时间
374,1995年2月,时间
342,1937年,时间
724,2009年,时间
70,1995年,时间
88,2002年11月,时间
90,2011年5月,时间
274,2011年3月,时间
503,2012年,时间
114,2013年1月,时间
401,2010年7月23日,时间
891,1958年,时间
5,1994年7月26日,时间
457,1982年,时间
394,2004年,时间
319,2009年,时间
615,2010年,时间
708,2015年10月27日,时间
545,2010年2月,时间
926,2009年6月20日,时间
501,2011年6月14日,时间
707,2010年10月23日,时间
624,2012年,时间
647,1955年6月,时间
691,1999年,时间
651,1956年3月,时间
303,1929年,时间
234,1995年,时间
383,1991年9月16日,时间
656,1953年3月21日,时间
510,1995年,时间
456,1980年,时间
676,2007年,时间
833,1951年3月5日,时间
359,1974年1月,时间
633,1994年10月,时间
122,2013年9月,时间
887,2011年7月,时间
263,1974年,时间
376,1995年4月19日,时间
66,1995年,时间
642,2002年,时间
426,1995年8月,时间
446,1998年3月14日,时间
448,1994年,时间
390,2000年1月7日,时间
730,2009年,时间
142,1950年,时间
441,2001年,时间
322,2009年,时间
10,2014年5月13日,时间
458,1975年4月11日,时间
486,2000年1月7日,时间
176,2002年11月,时间
659,1950年1月29日,时间
8,2010年7月23日,时间
89,2009年,时间
802,2015年10月,时间
685,1979年12月21日,时间
509,2010年,时间
480,1998年,时间
151,1947年,时间
371,1992年7月,时间
394,2003年10月,时间
552,2011年1月5日,时间
422,2002年,时间
693,1984年4月18日,时间
288,2008年,时间
460,1992年2月,时间
905,2007年5月17日,时间
757,2010年7月23日,时间
532,2010年11月,时间
337,1933年,时间
336,1842年,时间
853,1935年4月,时间
928,2009年2月17日,时间
339,1932年,时间
93,2009年7月,时间
609,1982年,时间
110,2012年9月12日,时间
266,1993年,时间
385,1998年12月,时间
873,1976年,时间
321,1951年,时间
433,2005年11月,时间
732,2009年8月,时间
533,2010年,时间
59,2011年5月,时间
177,2012年7月20日,时间
169,2011年4月,时间
232,1976年10月6日,时间
